ID,Вопрос пользователя,Нормализованный вопрос,Аудитория,Категория,Интент,Главный источник,Gena/API mapping,Черновик ответа,Где посмотреть самому,Кто ответственный,Куда задать вопрос,Статус,Приоритет,Sensitive?,Правило против галлюцинаций,Теги,Заметки
37,"У меня есть вопрос, в какой чат его задать?",Маршрутизация вопросов по чатам,все,Процессы тренера,question_chat_routing,Справочник чатов,Notion: chats_directory,"Общие каналы                                                                                                                                                             #важное - тут публикуются самые важные новости и опросы (например, изменения в правилах записи учеников).#общий - вопросы, касающиеся многих людей, средней важности (например, админ может обратиться к тренерам с вопросом по проге, поздравления с ДР и т.д.).                              #выплата-зп - обсуждаем вопросы, касающиеся начисления и вывода заработной платы.  #флудилка - мемчики, смешные случаи из работы и не только, обсуждение общежитейских моментов.                                                                                                                                                         #корпоратив - обсуждение предстоящих корпоративов (онлайн тоже бывают). #моральная_поддержка - чатик, где можно рассказать о своих проблемах или просто выговориться, если накипело, излить всё, что мешает жить и творить                                                                                               #английский_для_сотрудников - все, что касается изучения и использования англа.              Тренерские каналы
#admin_support
чатик по вопросам во время занятий (кто-то не пришел, ученик пропал, не можете связаться и т.д.). 
#schedule
чатик, где нужно просить и брать замены (подробности см. в главе по расписанию).
#гена-тренеры_обновления_предложения
туда пишут обновления по системе Гена, что нового появилось и как этим пользоваться. Сюда можно написать свои пожелания и собрать реакции от остальных.
#tech_support
писать все технические проблемы, когда что-то не работает в гене или с другими программами.
#тренерский
в этом чате только тренеры с тренерами. Обсуждаем учеников, направления, проекты, материалы… все, что связано с обучением и касается только тренеров! Очень важный чат! Обязательно читать и реагировать на сообщения.
#расширение_для_гены
все о расширении для Гены, предложения, новости.
+ чатики по отдельным направлениям, например**#python-коллегия**. Чатик своего направления можно найти через поиск по каналам.
",Справочник чатов,Операционный ответственный,общий рабочий чат,требует заполнения,high,нет,"Не придумывать чат; если нет категории, дать общий путь эскалации.",чат; маршрутизация,
38,"У меня есть идея по направлению, куда писать?",Куда писать идею по направлению,тренер,Процессы тренера,direction_idea_routing,Справочник тренера,Notion: direction_ideas,Заведующему направлением,Регламент идей,Заведующий направления / методисты,чат направления,требует заполнения,medium,нет,Дать форму/чат и владельца.,идея; направление,
40,"Моя подруга классно знает N предмет, хочет преподавать, куда её отправить?",Реферал кандидата в тренеры,все,Процессы тренера,refer_teacher_candidate,HR-справочник,Notion: teacher_referral,чат слек #вакансии https://dog-catamaran-1f2.notion.site/Work-in-ITgen-io-ac0ffa72facb4fa089f9a68eb31de147,HR-форма; #вакансии,HR,HR чат / форма кандидата,требует заполнения,medium,нет,Не обещать найм; дать официальный путь отклика.,кандидат; преподавать; HR,
41,"У нас на сайте написано одно, а в гене другое, как узнать где правильно?",Конфликт источников: сайт vs Гена,все,Актуальность и качество информации,source_conflict_resolution,Правила источников истины,Notion: source_of_truth,,Политика источников; владельцы данных,Продукт / операционный ответственный,чат продукта,требует заполнения,high,нет,Не выбирать источник самовольно; показать конфликт и владельца.,конфликт источников; сайт; Гена,всегда доверяем Гену
42,"У меня есть ученик N, ему N лет, запрос такой-то, на какой русский язык/нейросети/математику его записать?",Подбор конкретного направления по возрасту и запросу,"продажи, тренер",Направления и рекомендации,student_profile_direction_match,"Гена: Gena_Directions, поля title, group, desc, minAge, maxAge, requiredSkillId, operationSystems, tabletSystems","Gena_Directions: title, group, desc, minAge, maxAge, requiredSkillId, devices","Ответ для сотрудника: «По профилю ученика подходят {1-3 направления из Гены}. Обоснование: возраст подходит ({minAge/maxAge}), запрос совпадает с описанием ({краткое совпадение}), устройство подходит ({operationSystems/tabletSystems}). Если данных о возрасте, цели или устройстве не хватает, сначала задать уточняющие вопросы».",Лист Gena_Directions,Продажи / заведующий направления,чат продаж / чат направления,на проверке,high,нет,Задавать уточняющие вопросы при недостатке данных; не давать единственный вариант без основания.,подбор; возраст; запрос,Главный сценарий рекомендаций по реальным данным Гены.
43,"Ребёнок с РАC/другой особенность, есть ли тренеры, кто готов его взять?",Подбор тренера для ребенка с особенностями,"продажи, админ",Направления и рекомендации,special_needs_teacher_match,Нужен отдельный источник: регламент инклюзии и таблица тренеров,Не найдено в Gena_Directions; нужен источник inclusion/special_needs_ready,"Ответ для сотрудника: «В данных направлений Гены нет отметки, какие тренеры готовы работать с РАС или другими особенностями. Мы не даем медицинских советов и не обещаем тренера без проверки. Нужно передать запрос координатору тренеров/ответственному за инклюзию и уточнить подходящий формат».",Пока не найдено в данных направлений Гены,Координатор тренеров / ответственный за инклюзию,чат админов,на проверке,high,да,Не давать медицинских советов; проверять готовность тренера и эскалировать.,РАС; особенности; тренер,Нужна отдельная таблица special_needs_ready или регламент.
44,"У меня упал гена, что делать?",Гена недоступен/упал,все,Техническая поддержка,gena_down_support,Техрегламент,Notion: gena_down,,Статус Гены; регламент инцидентов,Техподдержка,чат техподдержки,требует заполнения,high,нет,Дать первые шаги и путь эскалации; не советовать обходы без регламента.,Гена; недоступен,
45,"А на направлении N, мы учим тому-то? Если нет, а запрос от ученика есть, то что делать?",Проверка темы в программе и обработка запроса вне программы,"продажи, тренер",Направления и рекомендации,custom_request_handling,"Гена: Gena_Directions, поля desc, note, downloadLink","Gena_Directions: desc, note, downloadLink; при необходимости Materials","Ответ для сотрудника: если тема есть в описании/заметке/материале Гены, сказать: «Да, на {направление} изучают {тема}: {подтверждение из Гены}». Если темы нет, сказать: «В актуальном описании {направление} тема {тема} не указана». Затем предложить ближайшую тему/направление из Гены или передать запрос заведующему направления.",Лист Gena_Directions и материал направления,Заведующий направления,чат направления,на проверке,high,нет,Не обещать кастомизацию без правил; предложить альтернативу/эскалацию.,тема; программа; кастомный запрос,Бот не обещает кастомизацию без подтверждения.
46,Как создать сертификат направления?,Создание сертификата по направлению,"тренер, админ",Процессы тренера,certificate_direction_create,Справочник тренера,Notion: certificate_create,,Шаблоны сертификатов; регламент,Админ обучения,чат админов,требует заполнения,medium,нет,Использовать только утвержденные шаблоны.,сертификат; направление,
47,Как правильно выстраивать модули и ветки в гене?,Как выстраивать модули и ветки в Гене,"тренер, методист",Методика и сложные ситуации,gena_modules_structure,Справочник тренера → Все о Гене; Выбор трека обучения на послепробном/посленовом; Проблемы с прогрессом ученика; Проблемы с материалами и проектами,Notion: gena_structure,"Модули и ветки в Гене нужно выстраивать от образовательной логики: направление → уровень/этап → модуль → уроки → проект или результат. Ветка нужна, если у учеников действительно разные маршруты: по уровню, цели, prerequisite, проекту или формату. Для каждой ветки должны быть понятны входные условия, результат, правило перехода и отображение в прогрессе. Если ветка или модуль должны влиять на прогресс ученика, нужно проверить настройки видимости в прогрессе.",Справочник тренера → Все о Гене / Выбор трека обучения / Проблемы с прогрессом ученика / Проблемы с материалами и проектами,Методический отдел / продукт Гены,чат Гены,требует заполнения,medium,нет,Давать ссылку на инструкцию; не изобретать структуру.,Гена; модули; ветки,
48,Как работать с геймификацией?,Работа с геймификацией,"тренер, методист",Методика и сложные ситуации,gamification_guidance,Материалы Академии тренеров → 1.2 Что поддерживает мотивацию и как действовать тренеру; 1. Мини-курс “Субъектность в логике урока”; 5. Мини-курс “Партнерский стиль и тактики партнёрского влияния”; Материалы Академии тренеров / Справочник тренера → Цели ребенка ←→ Учебная самостоятельность; Как ставить цели с учеником в ИФ; Справочник тренера → Методические рекомендации; Про субъектность; Процесс преподавания,Notion: gamification,"Геймификация должна быть связана не просто с “игрой”, а с целью ученика и движением к результату. Сначала нужно понять, какая учебная цель у ребёнка: что он хочет научиться делать, какой проект собрать, какой навык прокачать. Потом эту цель можно разложить на понятные шаги и визуализировать через канбан, карту прогресса, уровни, чекпоинты или мини-миссии. Хорошая геймификация помогает ребёнку видеть: где он сейчас, что уже сделал, какой следующий шаг и за что он получает “прогресс”. Важно не заменять обучение баллами или бейджами: игровые элементы должны поддерживать самостоятельность, осознанность и движение к цели.",Академия тренеров → БД материалов; Справочник тренера → Цели ребенка ←→ Учебная самостоятельность; Как ставить цели с учеником в ИФ; Про субъектность; Методические рекомендации; Процесс преподавания,Методический отдел,чат методистов,требует заполнения,medium,нет,Давать принципы и примеры только из методички.,геймификация,
49,"У ученика не открываются материалы в эдике/надо установить VPN, что делать?",Материалы не открываются / нужен VPN,"тренер, админ",Техническая поддержка,student_materials_access_issue,Техрегламент,Notion: materials_access,,Инструкция Эдик; VPN-регламент,Техподдержка,чат техподдержки,требует заполнения,high,да,Не советовать VPN без регламента и учета страны/сервиса.,материалы; Эдик; VPN,
50,"На уроке возникла техпроблема в программе (например, Unity), что делать?",Техпроблема на уроке в программе,тренер,Техническая поддержка,lesson_software_issue,Техрегламент,Notion: lesson_software_issue,,Инструкции по программам; техподдержка,Техподдержка / заведующий направления,чат техподдержки,требует заполнения,high,нет,"Дать базовую диагностику и эскалацию, не тратить весь урок.",Unity; техпроблема; урок,
51,Что такое проектные интенсивы? Какая за них оплата?,Проектные интенсивы и оплата,"тренер, продажи",Процессы тренера,project_intensives,Справочник Айтигенио,Notion: project_intensives,,Регламент интенсивов; оплата,Операционный отдел / HR,чат админов / HR,требует заполнения,medium,нет,Не указывать оплату без актуальной ставки.,интенсивы; оплата,
52,Как стать тренером ГФ?,Как стать тренером группового формата,тренер,Процессы тренера,become_group_format_teacher,Справочник тренера,Notion: group_format_teacher,Попросить в #schedule поставить окошки ГФ,Регламент ГФ,Координатор группового формата,чат групп,требует заполнения,medium,нет,"Указать требования и путь отбора, если есть.",ГФ; групповой формат,
53,"Сотрудник спрашивает то, чего нет в базе.","Поведение бота, если ответа нет в базе",все,Unknown case,unknown_answer,База знаний,N/A,,База знаний; правила эскалации,Владелец категории,маршрутизатор вопросов / общий чат,готово,high,нет,"Всегда использовать, когда нет источника или уверенность ниже порога.",нет ответа; unknown; антигаллюцинации,
54,Не работает микрофон на занятии,"Как настроить микрофон, если он не работает",тренер,Проблемы с оборудованием/ОС,Диагностика и настройка,Справочник тренера,Notion: ,Нужно прислать ученику инструкцию по настройке. Если не получается самостоятельно написать сообщение в чат #tech_support по шаблону,Почему не работает микрофон,Техническая поддержка,#tech_support,,,,,,
55,"У ученика мультяшный голос (изменённый, неестественный) в микрофоне",Почему голос звучит как мультяшный и как исправить,тренер,Проблемы с оборудованием/ОС,Настройка звука,Гена: модуль Тренеру - ветка Решение технических проблем,Notion: ,Нужно прислать ученику инструкцию по настройке. Если не получается самостоятельно написать сообщение в чат #tech_support по шаблону,"Ссылка на инструкцию: 
https://drive.google.com/file/d/1FCWVXGrEhh6YiihjSEThWHfdZFkI0B2Q/view",Техническая поддержка,#tech_support,,,,,"микрофон, мультяшный голос, эффекты, звук, обработка",Часто возникает после обновления драйверов
56,Не работает камера (веб-камера) у ученика,"Как включить и настроить веб-камеру, если она не работает",тренер,Проблемы с оборудованием/ОС,Диагностика и настройка,Справочник тренера,Notion: ,,Почему не работает камера,Техническая поддержка,#tech_support,,,,,,
57,Не работают наушники,Почему не работают Bluetooth-наушники,тренер,Проблемы с оборудованием/ОС,Настройка звука,Справочник тренера,Notion: ,,Почему не работают Bluetooth-наушники,Техническая поддержка,#tech_support,,,,,,
58,Почему работает шумоподавление на ноутбуке,AI-шумоподавление на ноутбуках,тренер,Проблемы с оборудованием/ОС,Настройка звука,Справочник тренера,Notion: ,,AI-шумоподавление на ноутбуках,Техническая поддержка,#tech_support,,,,,,
59,"Как включить микрофон или камеру, если ничего уже не помогает",Могу ли использовать телефон в качестве микрофона или камеры,тренер,Проблемы с оборудованием/ОС,"Настройка звука, камеры",Справочник тренера,Notion: ,,Использовать телефон в качестве микрофона или камеры,Техническая поддержка,#tech_support,,,,,,
60,Как установить VPN  / Установка VPN для работы с платформой,Пошаговая инструкция по установке и настройке VPN,тренер,Доступ и сеть,Настройка VPN,Справочник тренера,Notion: ,,Как установить ВПН,Техническая поддержка,#tech_support,,,,Не рекомендовать конкретные платные/бесплатные VPN без утверждённого списка.,"VPN, установка, настройка, доступ, блокировка",
61,Как подключить демонстрацию экрана (ученику или учителю) / Не работает демонстрация экрана Windows,Как включить и настроить демонстрацию экрана на уроке на Windows,тренер,Доступ и сеть,Настройка демонстрации,Справочник тренера,Notion: ,,Общие сведения о демонстрации экрана,Техническая поддержка,#tech_support,,,,"Бот не рекомендует конкретные приложения для демонстрации, если они не указаны в источнике.","демонстрация экрана, screen share, Zoom, Teams, урок",Полезно добавить скриншоты кнопок
62,Как подключить демонстрацию экрана (ученику или учителю) / Не работает демонстрация экрана Mac,Как включить и настроить демонстрацию экрана на уроке на MacOS,тренер,Доступ и сеть,Настройка демонстрации,Справочник тренера,Notion: ,,Демонстрация экрана на Mac,Техническая поддержка,#tech_support,,,,,,
63,Не работают горячие клавиши в Photoshop,Как исправить неработающие горячие клавиши в Photoshop,Тренер,Проблемы с инструментами/софтом,Диагностика и настройка,"Гена: методичка тренера, техническая поддержка",,"1. Чаще всего достаточно переключить язык клавиатуры с русского на английский. 2. Если у ученика Mac: Alt заменяет Option, вместо Control используйте Command. 3. Проверьте, не залипла ли клавиша Shift/Ctrl/Alt. 4. Перезапустите Photoshop.","Методичка тренера: https://editor.itgen.io/editor/ESkTqx7Oe4KyMq (раздел Частые ошибки) 
чат с техподдержкой #tech_support","Заведующий направлением, техническая поддержка","#photoshop-2
#tech_support",,,,,,
64,"Пропали все окошки в Photoshop (инструменты, панели)","Как вернуть интерфейс Photoshop, если исчезли панели",Тренер,Проблемы с инструментами/софтом,Восстановление интерфейса,"Гена: методичка тренера, техническая поддержка",,"1. Нажмите клавишу Tab — это скрывает/показывает все панели. 2. Если включился полноэкранный режим, нажмите F один или два раза. 3. Если не помогло: Окно → Рабочая среда → Сбросить основную рабочую среду (Window → Workspace → Reset Essentials).","Методичка тренера: https://editor.itgen.io/editor/ESkTqx7Oe4KyMq (раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#photoshop-2
#tech_support",,,,,,
65,Инструменты и функции не активны (серые) в Photoshop,Почему в Photoshop неактивны инструменты и как исправить,Тренер,Проблемы с инструментами/софтом,Диагностика и исправление,"Гена: методичка тренера, техническая поддержка",,"1. Примените текущую трансформацию, нажав Enter (или галочку на панели). 2. Убедитесь, что выбран правильный слой (инструмент может не работать на фоновом или заблокированном слое). 3. Проверьте режим изображения: Изображение → Режим → RGB (не CMYK, не Индексированные цвета). 4. Если инструмент требует растрового слоя, преобразуйте слой в растровый (Слой → Растрировать).","Методичка тренера: https://editor.itgen.io/editor/ESkTqx7Oe4KyMq (раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#photoshop-2
#tech_support",,,,,,
66,Слетела лицензия в Adobe Illustrator (надпись о пробном периоде или блокировке),"Что делать, если в Illustrator слетела лицензия",Тренер,Проблемы с инструментами/софтом,Лицензирование,"Гена: методичка тренера, техническая поддержка",,Единственное верное действие — написать в Техподдержку. Самостоятельно восстановить лицензию не получится.,"Методичка тренера:  https://editor.itgen.io/editor/NDPVfMwapm9Yky раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#ps_ai
#tech_support",,,,,,
67,У ученика интерфейс Adobe Illustrator на непонятном языке (не русский/не английский),Как изменить язык интерфейса в Illustrator,Тренер,Проблемы с инструментами/софтом,Локализация,"Гена: методичка тренера, техническая поддержка",,"В Adobe Illustrator нельзя поменять язык интерфейса без переустановки. Нужно удалить программу и при переустановке выбрать нужный язык (например, русский или английский).","Методичка тренера:  https://editor.itgen.io/editor/NDPVfMwapm9Yky раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#ps_ai
#tech_support",,,,,,
68,Не работают горячие клавиши в Adobe Illustrator,Как исправить неработающие горячие клавиши в Illustrator,Тренер,Проблемы с инструментами/софтом,Диагностика и настройка,"Гена: методичка тренера, техническая поддержка",,"1. Переключите язык клавиатуры с русского на английский. 2. На Mac: Alt = Option, Control = Command. 3. Проверьте, не залипла ли клавиша-модификатор.","Методичка тренера:  https://editor.itgen.io/editor/NDPVfMwapm9Yky раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#ps_ai
#tech_support",,,,,,
69,"Что-то нажал в Illustrator, и всё стало контурным (только линии, без заливки)",Как выйти из режима просмотра контуров в Illustrator,Тренер,Проблемы с инструментами/софтом,Восстановление отображения,"Гена: методичка тренера, техническая поддержка",,Скорее всего ученик нажал Ctrl+Y (Cmd+Y на Mac). Это переключает режим просмотра «Контуры» (Outline). Чтобы вернуть обычный вид: снова нажмите Ctrl+Y или выберите Вид → Предварительный просмотр на GPU (View → GPU Preview).,"Методичка тренера:  https://editor.itgen.io/editor/NDPVfMwapm9Yky раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#ps_ai
#tech_support",,,,,,
70,"Пропали все окошки (панели, инструменты) в Adobe Illustrator",Как вернуть интерфейс Illustrator при пропаже панелей,Тренер,Проблемы с инструментами/софтом,Восстановление интерфейса,"Гена: методичка тренера, техническая поддержка",,"1. Нажмите клавишу Tab — это скрывает/показывает все панели. 2. Если включился полноэкранный режим, нажмите F один или два раза. 3. Сбросьте рабочую среду: Окно → Рабочая среда → Сбросить основную (Window → Workspace → Reset Essentials).","Методичка тренера:  https://editor.itgen.io/editor/NDPVfMwapm9Yky раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#ps_ai
#tech_support",,,,,,
71,Черно-белый градиент (или не те цвета) в Adobe Illustrator,Как исправить черно-белый градиент в Illustrator,Тренер,Проблемы с инструментами/софтом,Настройка цвета,"Гена: методичка тренера, техническая поддержка",,На панели «Градиент» нажмите на три полоски (меню) и выберите RGB. Сделайте это для обеих сторон градиента (оба маркера). Также проверьте цветовой профиль документа: Файл → Цветовой профиль документа → RGB.,"Методичка тренера:  https://editor.itgen.io/editor/NDPVfMwapm9Yky раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#ps_ai
#tech_support",,,,,,
72,Проблемы с цветовым профилем в Adobe Illustrator (неправильные цвета),Как настроить цветовой профиль в Illustrator,Тренер,Проблемы с инструментами/софтом,Цветокоррекция,"Гена: методичка тренера, техническая поддержка",,"Зайдите в Файл → Цветовой профиль документа → выберите RGB (для экрана) или CMYK (для печати). Чаще всего для уроков подходит RGB. Если профиль не меняется, проверьте, что документ не защищён.","Методичка тренера:  https://editor.itgen.io/editor/NDPVfMwapm9Yky раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка","#ps_ai
#tech_support",,,,,,
73,,,,,,,,,,,,,,,,,
74,Ошибка Scratch: WebGL не поддерживается (WebGL not supported),"Что делать, если Scratch выдает ошибку WebGL не поддерживается",Тренер,Проблемы с инструментами/софтом,Браузер/графика,Гена: модуль Тренеру - ветка Решение технических проблем,,Нужно прислать ученику инструкцию по настройке. Если не получается самостоятельно написать сообщение в чат #tech_support по шаблону,"Методичка тренера: https://drive.google.com/file/d/1sC5skdnyP2d-jQhDlbSMWjvJGGU9pLxY/view(раздел Частые ошибки) 
чат с техподдержкой #tech_support","заведующий направлением, техническая поддержка",#tech_support,,,,,,
